,amenity,name,point,Closest_Sectors
1048,school,K.R. Mangalam World School,POINT (77.06605416666058 28.46006519958751),"[('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 43', (28.4548735, 77.0858864)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
1049,parking,,POINT (76.90069418561393 28.365367502651043),"[('Sector 15', (28.3843199, 76.9122326)), ('Sector 3', (28.3627664, 76.9193261)), ('Sector 3A', (28.3661708, 76.8916108)), ('Sector 7', (28.3760277, 76.9122152))]"
1050,school,,POINT (76.94624193451064 28.363685944322718),"[('Sector 5', (28.3673537, 76.9267238)), ('Sector 80', (28.3702173, 76.9611159))]"
1051,school,,POINT (77.00711119546072 28.470531169013285),"[('Sector 104', (28.4795324, 76.9937197)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 4', (28.4750063, 77.0103535)), ('Sector 8', (28.4598966, 77.0198043)), ('Sector 9A', (28.4690266, 76.9962811))]"
1052,school,Colonel's Central Academy,POINT (77.00509244608396 28.476879869025343),"[('Sector 104', (28.4795324, 76.9937197)), ('Sector 105', (28.4943133, 77.0081378)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 4', (28.4750063, 77.0103535)), ('Sector 8', (28.4598966, 77.0198043)), ('Sector 9A', (28.4690266, 76.9962811))]"
1053,school,Blue Bells Model Sr. Sec. School,POINT (77.01167168054451 28.478095893260868),"[('Sector 104', (28.4795324, 76.9937197)), ('Sector 105', (28.4943133, 77.0081378)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 4', (28.4750063, 77.0103535)), ('Sector 8', (28.4598966, 77.0198043)), ('Sector 9A', (28.4690266, 76.9962811))]"
1054,school,,POINT (77.0118813496282 28.475670325993278),"[('Sector 104', (28.4795324, 76.9937197)), ('Sector 105', (28.4943133, 77.0081378)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 4', (28.4750063, 77.0103535)), ('Sector 8', (28.4598966, 77.0198043)), ('Sector 9A', (28.4690266, 76.9962811))]"
1055,school,,POINT (77.00711558025706 28.47354882922651),"[('Sector 104', (28.4795324, 76.9937197)), ('Sector 105', (28.4943133, 77.0081378)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 4', (28.4750063, 77.0103535)), ('Sector 8', (28.4598966, 77.0198043)), ('Sector 9A', (28.4690266, 76.9962811))]"
1056,school,,POINT (77.037887285751 28.519627570963554),"[('Sector 1', (28.5187813, 77.0418623)), ('Sector 110', (28.5069625, 77.018321)), ('Sector 110A', (28.5159108, 77.0276475)), ('Sector 111', (28.5222773, 77.0336203)), ('Sector 112', (28.5203402, 77.0188612)), ('Sector 113', (28.5286649, 77.0250282)), ('Sector 2', (28.5090499, 77.0342831)), ('Sector 23', (28.510319, 77.0530094))]"
1057,hospital,Columbia Asia Hospital,POINT (77.04157927909208 28.509084850409486),"[('Sector 1', (28.5187813, 77.0418623)), ('Sector 110', (28.5069625, 77.018321)), ('Sector 110A', (28.5159108, 77.0276475)), ('Sector 111', (28.5222773, 77.0336203)), ('Sector 2', (28.5090499, 77.0342831)), ('Sector 23', (28.510319, 77.0530094))]"
1058,school,GD Goenka Public School,POINT (77.00397282303092 28.443658317780887),"[('Sector 10A', (28.4445813, 77.0060231)), ('Sector 11', (28.4522331, 77.0267159)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 37B', (28.4333189, 76.9813419)), ('Sector 37C', (28.4489095, 76.9880502)), ('Sector 8', (28.4598966, 77.0198043))]"
1059,school,,POINT (77.0028810120918 28.44816289315939),"[('Sector 10A', (28.4445813, 77.0060231)), ('Sector 11', (28.4522331, 77.0267159)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 37C', (28.4489095, 76.9880502)), ('Sector 8', (28.4598966, 77.0198043)), ('Sector 9A', (28.4690266, 76.9962811))]"
1060,school,Dav School,POINT (77.00826621974552 28.443308405233523),"[('Sector 10A', (28.4445813, 77.0060231)), ('Sector 11', (28.4522331, 77.0267159)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 37C', (28.4489095, 76.9880502)), ('Sector 72A', (28.4233234, 77.0187775)), ('Sector 8', (28.4598966, 77.0198043))]"
1061,hospital,,POINT (76.99679127467559 28.456132933503813),"[('Sector 10A', (28.4445813, 77.0060231)), ('Sector 37C', (28.4489095, 76.9880502)), ('Sector 4', (28.4750063, 77.0103535)), ('Sector 8', (28.4598966, 77.0198043)), ('Sector 9A', (28.4690266, 76.9962811))]"
1062,school,,POINT (77.00469804796268 28.45287948032774),"[('Sector 10A', (28.4445813, 77.0060231)), ('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 37C', (28.4489095, 76.9880502)), ('Sector 8', (28.4598966, 77.0198043)), ('Sector 9A', (28.4690266, 76.9962811))]"
1063,parking,,POINT (77.06571070435392 28.46595088353393),"[('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 43', (28.4548735, 77.0858864)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
1064,parking,,POINT (77.06530387273354 28.466417127708027),"[('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 43', (28.4548735, 77.0858864)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
1065,hospital,,POINT (77.06432171623668 28.47506204795644),"[('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 25', (28.4860888, 77.084224)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
1066,parking,,POINT (77.08437425000001 28.49207935),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
1067,parking,,POINT (77.0849420170247 28.492685558831997),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
